param grid_size := 12;
param time := 15;
param number_of_drones := 3;
param obstacles_number := 19;
param battery_swapping_stations_number := 26;
param initial_final_points :=
1 10
2 5
3 10
4 8
5 7
6 6
7 2
8 5
9 4
10 6
11 3
12 4
;
param obstacles :=
1 2
2 11
3 3
4 5
5 9
6 8
7 3
8 11
9 7
10 3
11 7
12 8
13 4
14 11
15 8
16 5
17 9
18 6
19 7
20 11
21 5
22 5
23 2
24 7
25 2
26 10
27 7
28 5
29 9
30 4
31 5
32 7
33 5
34 9
35 7
36 9
37 2
38 6
;
param battery_swapping_stations :=
1 6
2 6
3 10
4 7
5 8
6 4
7 10
8 10
9 11
10 9
11 8
12 7
13 4
14 4
15 2
16 4
17 5
18 10
19 4
20 7
21 7
22 7
23 2
24 8
25 6
26 10
27 8
28 8
29 11
30 3
31 5
32 6
33 10
34 6
35 5
36 11
37 11
38 11
39 8
40 9
41 10
42 5
43 10
44 8
45 7
46 6
47 2
48 5
49 4
50 6
51 3
52 4
;
param battery_added
: 1 2 3 4 5 6 7 8 9 10 11 12 :=
1 0 0 0 0 0 0 0 0 0 0 0 0
2 0 0 0 10 10 0 0 10 0 0 0 0
3 0 0 0 10 0 0 0 0 0 0 0 0
4 0 0 0 10 0 10 10 0 0 0 0 0
5 0 0 0 0 0 10 0 0 0 10 10 0
6 0 0 0 0 0 10 0 0 0 10 0 0
7 0 0 0 0 0 10 10 0 0 0 0 0
8 0 0 0 10 0 0 10 10 10 0 0 0
9 0 0 0 0 0 0 0 0 0 0 0 0
10 0 0 0 0 10 10 10 10 0 10 0 0
11 0 0 10 0 0 0 0 0 10 0 10 0
12 0 0 0 0 0 0 0 0 0 0 0 0
;
